               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.022125,           0.0066207,                   0,             0.97723,             0.91301,             0.93911,             0.54092,             0.03565,           0.0054724,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.024255,           0.0062423,                   0,             0.96421,             0.88298,             0.90962,              0.5436,            0.034098,           0.0055148,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,             0.02138,           0.0064829,                   0,              0.9516,             0.88298,             0.90427,             0.54333,            0.034823,           0.0055649,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.021919,           0.0063346,                   0,             0.97328,             0.89362,             0.92131,             0.54617,            0.034784,           0.0055419,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,             0.02242,           0.0068462,                   0,             0.97451,             0.89362,             0.92794,             0.52795,            0.036264,           0.0056343,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.022538,           0.0067426,                   0,             0.96591,             0.90423,             0.92473,             0.52535,            0.036047,           0.0057052,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.021717,           0.0062973,                   0,             0.96017,             0.90426,             0.92687,             0.52703,            0.035929,           0.0055279,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.022081,           0.0071266,                   0,             0.95109,             0.90426,             0.93078,             0.52441,             0.03685,           0.0054551,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.021754,           0.0065423,                   0,             0.96625,             0.91379,              0.9308,             0.53953,            0.035188,           0.0052664,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.022508,           0.0061362,                   0,             0.95333,             0.90426,             0.91937,             0.53547,            0.036113,           0.0053435,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.021737,           0.0064648,                   0,             0.96289,             0.91489,             0.94473,             0.54774,            0.036066,           0.0052836,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.022412,           0.0065399,                   0,             0.95145,             0.90426,             0.93058,             0.54345,             0.03556,           0.0052649,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.021217,           0.0063464,                   0,             0.96515,             0.88385,             0.92864,             0.54695,            0.035819,           0.0053495,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.021565,           0.0068808,                   0,             0.94281,             0.90426,             0.92656,             0.55044,            0.035433,           0.0051902,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.021079,           0.0062643,                   0,             0.96426,             0.89362,             0.92257,             0.53076,            0.036353,           0.0053651,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.020813,           0.0065749,                   0,              0.9605,             0.90426,             0.91347,             0.52661,            0.035896,           0.0053568,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.021751,           0.0065618,                   0,             0.96121,             0.89362,             0.92617,             0.50996,            0.037687,           0.0053739,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.021333,           0.0063916,                   0,             0.97639,             0.87981,             0.92845,             0.53356,            0.036784,           0.0053428,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.019862,           0.0058513,                   0,             0.96315,             0.88298,             0.92527,             0.53988,            0.036226,           0.0053421,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.020124,           0.0062042,                   0,             0.92453,             0.91227,              0.9101,             0.51467,            0.036575,           0.0055757,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.020999,           0.0066561,                   0,             0.94435,             0.90272,             0.91749,               0.536,            0.035745,            0.005508,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.020954,           0.0063772,                   0,             0.96081,             0.88298,             0.91589,             0.54041,            0.035634,           0.0055377,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.019589,           0.0062779,                   0,             0.95396,             0.91489,             0.93618,             0.53903,            0.036843,           0.0056411,                   0,            0.004258,            0.004258,            0.004258
                 118,             0.02079,           0.0059081,                   0,             0.95201,             0.91489,             0.93289,             0.55538,            0.035435,           0.0055218,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.020436,           0.0059765,                   0,             0.94329,             0.91398,             0.92966,             0.54524,            0.035871,           0.0055713,                   0,            0.004159,            0.004159,            0.004159
